relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber,inventorNameText,citedDocumentIdentifier
"1,4-8,11-12,15-16",2020-12-10,ETL_SYS,False,A1,False,2470,16583948,CTNF,2478,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [0059]|paragraphs [0010], [0018]|p. 609|column 4|c(2)|lines 14-30|fig.7)|claim 2|claims 2,3, 9, 14|paragraph [0002], [0057]|paragraphs [0023], [0031])|p 609|column 5|lines 6-25|fig 7)|claim 1|claims 1-20|paragraph [0018],[0055]|paragraphs [0015],[0016]) 8|column 3|lines 29-60|claim 9|claims 1,4-8,12, 15-16|paragraph [0047], [0051]|paragraphs [0003],[0004])|lines 7-26|claim 8|paragraph [0022], [0023] ,[0054]|paragraphs [0011],[0012])|lines 29-45|claim 3|paragraph [0018]|lines 6-28|claim 6|paragraph [0211]|lines 6-46)|claim 5|paragraph [0009])|lines 6-62)|claim 4|lines 13-45|claim 7|paragraph [0059]|paragraphs [0010], [0018]|p. 609|column 4|c(2)|lines 14-30|fig.7)|claim 9|claims 2,3, 9, 14|paragraph [0002], [0057]|paragraphs [0023], [0031])|p 609|column 5|lines 6-25|fig 7)|claim 8|claims 1-20|paragraph [0018],[0055]|paragraphs [0015],[0016]) 8|column 3|lines 29-60|claim 2|claims 1,4-8,12, 15-16|paragraph [0047], [0051]|paragraphs [0003],[0004])|lines 7-26|claim 1|paragraph [0022], [0023] ,[0054]|paragraphs [0011],[0012])|lines 29-45|claim 3|paragraph [0018]|lines 6-28|claim 6|paragraph [0211]|lines 6-46)|claim 5|paragraph [0009])|lines 6-62)|claim 4|lines 13-45|claim 7']",KIGBFI86LDFLYX7,a2c48cbb9d075317e924e305a85137c2,X,True,20170245207,Stammers; Timothy P.,US 20170245207 A1
1-20,2020-12-10,ETL_SYS,False,,False,2470,16583948,CTNF,2478,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0059]|paragraphs [0010], [0018]|p. 609|column 4|c(2)|lines 14-30|fig.7)|claim 2|claims 2,3, 9, 14|paragraph [0002], [0057]|paragraphs [0023], [0031])|p 609|column 5|lines 6-25|fig 7)|claim 1|claims 1-20|paragraph [0018],[0055]|paragraphs [0015],[0016]) 8|column 3|lines 29-60|claim 9|claims 1,4-8,12, 15-16|paragraph [0047], [0051]|paragraphs [0003],[0004])|lines 7-26|claim 8|paragraph [0022], [0023] ,[0054]|paragraphs [0011],[0012])|lines 29-45|claim 3|paragraph [0018]|lines 6-28|claim 6|paragraph [0211]|lines 6-46)|claim 5|paragraph [0009])|lines 6-62)|claim 4|lines 13-45|claim 7|paragraph [0059]|paragraphs [0010], [0018]|p. 609|column 4|c(2)|lines 14-30|fig.7)|claim 9|claims 2,3, 9, 14|paragraph [0002], [0057]|paragraphs [0023], [0031])|p 609|column 5|lines 6-25|fig 7)|claim 8|claims 1-20|paragraph [0018],[0055]|paragraphs [0015],[0016]) 8|column 3|lines 29-60|claim 2|claims 1,4-8,12, 15-16|paragraph [0047], [0051]|paragraphs [0003],[0004])|lines 7-26|claim 1|paragraph [0022], [0023] ,[0054]|paragraphs [0011],[0012])|lines 29-45|claim 3|paragraph [0018]|lines 6-28|claim 6|paragraph [0211]|lines 6-46)|claim 5|paragraph [0009])|lines 6-62)|claim 4|lines 13-45|claim 7']",KIGBFI86LDFLYX7,2ca5609c8886b03a9fd8d498b8d2a77b,X,False,,,
"1-2,6,9,11-12,16-19",2021-04-12,ETL_SYS,False,A1,False,2450,16690797,CTNF,2457,AOK,2025-01-13 14:32:11,2400,US,,KN8T0BFTLDFLYX7,e472d3fa2b7c70d1de15868dc501b561,X,True,20160366713,Sonnino; Roberto,US 20160366713 A1
"1-5,7-13,15-20",2020-08-21,ETL_SYS,False,,False,2430,15622424,CTFR,2431,AOK,2025-01-13 14:32:11,2400,,"['par 1)|para 4-6|page 8|col 15: 3-11|c. 103|line 5|lines 12-18)|fig. 2|claim 3|claims 1-20|para 0016|page 9|col 10:37-43)|c. 112|claim 1|claims 1, 7, 9, 15 and 17|col 13:60-67|claim 6|claims 1, 9 and 17|col 15:24-39)|claim 9|claims 2-5|col 1:1-3|claim 5)|claims 10-13|col 17:60-67|claim 4|claims 9|col 18:1-15|claim 2|claims 18-20|claim 5|claims 1-5, 7-13|claim 8)|claims 6 and 14|claim 7|claims 1, 9|claim 8']",KE1C4J82RXEAPX0,9bc3fdd4f1813aa046af865fad1f0ab7,X,False,,,
"1,3-10,12-18,20-23",2020-08-17,ETL_SYS,False,A1,False,2430,15628089,CTFR,2436,AOK,2025-01-13 14:32:11,2400,US,"['para 0108-0110|page 9|c. 103|section 102|fig 3|claim 7 and 16|claims 3-4, 12-13 and 21-23|fig 24|claim 6 and 15|claims 1, 5-10, 14-18 and 20|fig 27|claim 10|claims 18-20|fig 18-19|claim 9|claims 21-23|fig 19)|claim 1|claims 1, 3-10, 12-18 and 20-23|claim 5 and 14|claims 1, 3-4, 10, 12-13 and 18|claim 8 and 17|claim 3 and 12|claim 21-23|claim 6, 15 and 20|claim 4 and 13']",KDT1SHSTRXEAPX4,0fe2696943c51da2d46fb4fcf51dd1da,X,True,20100036889,JOSHI; Kiran,US 20100036889 A1
1-20,2023-12-14,ETL_SYS,False,,False,2480,17884722,CTFR,2484,AOK,2025-01-13 14:32:11,2400,,,LQ2Q8BRWGREENX3,bf3b8c1cc6dcc8e978dab0d2c768d2e2,X,False,,,
"1,11",2021-09-02,ETL_SYS,False,,False,2450,17163259,CTNF,2459,AOK,2025-01-13 14:32:11,2400,,"['par. 0119)|c. 103|fig. 2)|figs 1 and 4-6)|claim 11|claims 1-20|par. 0003)|fig. 4)|claim 6|claims 2-20|par. 0071-0076)|claim 1|par. 0039|claim 9|par. 0007, 0032, 0033 and 0039, 0054 and 0071|par. 0003, 0013)|par. 0013)|par. 0071)|par. 0032, 0033 and 0039)|par. 0007, 0054|par. 0001 and 0008)|par. 0119)|c. 103|fig. 2)|figs 1 and 4-6)|claim 11|claims 1-20|par. 0003)|fig. 4)|claim 6|claims 2-20|par. 0071-0076)|claim 1|par. 0007, 0032, 0033 and 0039, 0054 and 0071|claim 9|par. 0039|par. 0003, 0013)|par. 0013)|par. 0071)|par. 0032, 0033 and 0039)|par. 0007, 0054|par. 0001 and 0008)']",KT07K42ZLDFLYX9,62624f091bdef1b0a9ddc5ee4da78dfd,X,False,,,
"5,18",2023-10-04,ETL_SYS,False,A1,False,2410,17213902,CTNF,2414,AOK,2025-01-13 14:32:11,2400,US,"['par. 0273|c. 103|fig 25|claims 1 and 14|par. 0287, 0302]|fig 31-32|claims 4 and 17|par. 0287]|fig 20|claims 6 and 19|par. 0300|fig 31|claims 2 and 15|par. 0354-0356|fig 1 and 2|claims 5 and 18|par. 0247, 0330]|claims 3 and 16|par. 0330|claims 7 and 20|par. 0165, 0172|par. 0291]|par. 0273|c. 103|fig 31-32|claims 1 and 14|par. 0287, 0302]|fig 20|claims 4 and 17|par. 0287]|fig 31|claims 6 and 19|par. 0247, 0330]|fig 1 and 2|claims 2 and 15|par. 0330|fig 25|claims 5 and 18|par. 0300|claims 3 and 16|par. 0354-0356|claims 7 and 20|par. 0165, 0172|par. 0291]|par. 0247, 0330]|c. 103|fig 31-32|claims 1 and 14|par. 0330|fig 20|claims 6 and 19|par. 0287]|fig 31|claims 2 and 15|par. 0300|fig 1 and 2|claims 4 and 17|par. 0354-0356|fig 25|claims 5 and 18|par. 0273|claims 3 and 16|par. 0287, 0302]|claims 7 and 20|par. 0165, 0172|par. 0291]']",LN9J1N32XBLUEX1,e77c84d271b80845d29b6a95f7788f89,X,True,20190320467,FREDA; Martino,US 20190320467 A1
24-26,2021-09-02,ETL_SYS,False,,False,2430,16228714,CTNF,2433,AOK,2025-01-13 14:32:11,2400,,"['page 11-13|column 18|c. 103|section 102|line 5)|lines 40|claim 8|claims 24, 25, 26|column 19|claim 20|claims 2, 18, 20, 24-26|claim 1|claims 1-26|claim 9|claim 6|claim 2|claim 3|claim 5|claim 7|claim 4|page 11-13|column 18|c. 103|section 102|line 5)|lines 40|claim 8|claims 24, 25, 26|column 19|claim 20|claims 2, 18, 20, 24-26|claim 1|claims 1-26|claim 6|claim 9|claim 2|claim 3|claim 5|claim 7|claim 4|page 11-13|column 18|c. 103|section 102|line 5)|lines 40|claim 8|claims 24, 25, 26|column 19|claim 1|claims 2, 18, 20, 24-26|claim 20|claims 1-26|claim 9|claim 6|claim 2|claim 3|claim 5|claim 7|claim 4']",KT0DI3ULLDFLYX4,bb464ffdba7d6a502a785609c4631d37,X,False,,,
"1-18,21-26",2022-05-31,ETL_SYS,False,,False,2420,15991438,CTFR,2426,AOK,2025-01-13 14:32:11,2400,,"['c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 17|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 9|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7: 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)|c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 9|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 17|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)']",L3NBVAKYXBLUEX4,7c49c6eef482db2cc5a69d06c6c34738,X,False,,,
29,2022-05-31,ETL_SYS,False,B2,False,2420,15991438,CTFR,2426,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 17|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 9|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7: 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)|c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 9|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 17|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)']",L3NBVAKYXBLUEX4,69c1c5e3c81a0ffa69ae5b5c98d88ff2,X,True,8224029,Saptharishi; Mahesh,US 8224029 B2
27-28,2022-05-31,ETL_SYS,False,A1,False,2420,15991438,CTFR,2426,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 17|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 9|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7: 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)|c. 103|l 33-37|fig. 3|figs. 1a|table 2|abstract. 3|claim 29|claims 8-11, 13, 15, 16 and 17|c 15|l 2-7)|fig. 4)|figs. 12a|claim 14|claims 1, 2, 21 and 22|c 3|l 52-67|claim 8|claims 6 and 18|c 13|l1-18|claim 2|claims 9 and 10|c14|l 48-65|claim 5|claims 27 and 28|c 14|l 5-39|claim 6|claims 23, 24 and 26|c18|l 32-50|claim 12|claims 1-26|c 10|l18-22)|claim 9|claims 1-7, 12, 14 and 21-26|c 11|l 2-7|claim 17|c3|l33-37|claim 1-29|c 4|l2-7|claim 1|c11|l30-67|claim 4|c12|l 21-24)|claim 7|c 2|l 36-67|claim 3|c 1|l 1-4|l 32-34|l 37-45)|l 14-53)']",L3NBVAKYXBLUEX4,c4b92da254e3368517a7292672ff0d45,X,True,20100158099,Kalva; Hari,US 20100158099 A1
31,2021-03-16,ETL_SYS,False,,False,2410,16079854,CTNF,2416,AOK,2025-01-13 14:32:11,2400,,"['c. 103|fig. 1|claim 40|claims 1 and 15 (35|fig. 3, 310, 372)|claim 31|claims 31, 38, 42, 45, 51, 55|fig. 5b|claim 51|claims 32, 33, 35, 36, 37, 43, 44, 46, 48|fig. 5d|claim 45|claims 31, 34, 38-42, 45, 47, 49-51 and 55-60|fig. 4])|claim 38|claims 47 and 49|fig. 9|claim 47|claims 31, 34, 41, 51|fig. 3, 340)|claim 34|claims 39-40 and 56-57|claim 50|claim 42|claim 58|claim 60|claim 56|claim 39|claim 59|claim 49|claim 57|claim 55|claim 41']",KM6DVQRUDFLYX11,ffdc199ab1c08bf01ada57b99b682992,X,False,,,
"1,9-13",2023-01-04,ETL_SYS,False,,False,2470,17749554,CTNF,2471,AOK,2025-01-13 14:32:11,2400,,,LCAMFHOLXBLUEX3,d095f355d7278b6d9e1f46b7567c610c,X,False,,,
"3,5-10",2020-04-06,ETL_SYS,False,,False,2470,16310880,CTNF,2474,AOK,2025-01-13 14:32:11,2400,,"['paragraph 35)|c. 112|fig. 1|claim 4|claims 1-12|paragraph 6|c. 103|fig. 3)|claim 2|claims 1, 11|paragraph 15|claim 1|claims 1, 2 , 4, 11 and 12|paragraph 16|claim 9|claims 3 and 5-10|paragraph 23|paragraph 22|paragraph 38']",K8IUCMQXRXEAPX1,33e8c98fde74aaab0b1f93ed13b16490,X,False,,,
"1-3,9-11",2022-06-09,ETL_SYS,False,A1,False,2480,17425871,CTNF,2484,AOK,2025-01-13 14:32:11,2400,US,"['para.[0084])|c. 112|fig. 8b)|claim 12|claims 5, 6, 13 and 14|para.[0092]|c. 103|claim 4|claims 4 and 12|para.[0012]|c. 102|claim 14|claims 7 and 15|para.[0050])|claim 15|claims 1-3 and 9-11|claim 7|claim 2|claim 9|claim 1|claim 3|claim 8']",L44AGKCNXBLUEX5,e1cd1e5132658bbbb26aaedea6f104b9,X,True,20140086557,YU; Guitao,US 20140086557 A1
1,2024-08-29,ETL_SYS,False,A1,False,2410,17824104,CTNF,2413,AOK,2025-01-13 14:32:11,2400,US,"['par. 0085-0086|c. 102 and 103|section 102|figure 4|figures 3-6|f (6:00am|claim 1|claims 16, 17, 19 and 20|par. 0008|c. 103|figure 1|claim 8|claims 2, 3, 5 and 6|par. 0113-0127|c. 102|figure 6|claim 3|claims 9, 10, 11, 12 and 13|par. 0091-0093|figure 5|claim 4|claims 2, 3, 4, 5 and 6|par. 0113|figure 9|claim 5|par. 0091-0092|claim 7|par. 0007|claim 6|par. 0090|claim 2']",M0CEGSB1WFYGX58,0b6eef646d402349c6e7dcf454cda926,X,True,20220038243,SHRESTHA; Bharat,US 20220038243 A1
"7,14",2024-08-29,ETL_SYS,False,A1,False,2410,17824104,CTNF,2413,AOK,2025-01-13 14:32:11,2400,US,"['par. 0085-0086|c. 102 and 103|section 102|figure 4|figures 3-6|f (6:00am|claim 1|claims 16, 17, 19 and 20|par. 0008|c. 103|figure 1|claim 8|claims 2, 3, 5 and 6|par. 0113-0127|c. 102|figure 6|claim 3|claims 9, 10, 11, 12 and 13|par. 0091-0093|figure 5|claim 4|claims 2, 3, 4, 5 and 6|par. 0113|figure 9|claim 5|par. 0091-0092|claim 7|par. 0007|claim 6|par. 0090|claim 2']",M0CEGSB1WFYGX58,31440eb883fb4a9036108daeba4f4f01,X,True,20170085302,TONG; Fangwei,US 20170085302 A1
1-12,2024-12-04,ETL_SYS,False,,False,2480,18132287,CTFR,2482,AOK,2025-01-13 14:32:11,2400,,['paragraph [0050])|paragraphs [0059] and [0060])|column 8|c. 102 and 103|section 102|lines 24-29)|fig. 1|claim 2|paragraph [0014])|paragraphs [0040] and [0041])|column 7|c. 103|lines 5-7)|claim 6|paragraph [0071]|paragraphs [0037]-[0039])|column 1|lines 35-40)|claim 5|paragraph [0025])|lines 10-34)|claim 3|paragraph [0022])|lines 55-61)|claim 7|paragraph [0048]|claim 9|paragraph [0013])|claim 1|paragraph [0011])|claim 8|claim 4'],M47H78J8WFYGX58,9fccb01c24ae2c7a46837919a62150d6,X,False,,,
1-11,2024-11-21,ETL_SYS,False,,False,2440,18169614,CTNF,2446,AOK,2025-01-13 14:32:11,2400,,"['pg. 9-10)|c. 101|claims 1-9|claims 1, 2|claims 1-20|claims 1-11']",M3OWS5XXWFYGX62,ebfeb1bbc78895847e0e38ae62cde1d9,X,False,,,
1-20,2020-07-30,ETL_SYS,False,A1,False,2420,15819721,CTFR,2426,AOK,2025-01-13 14:32:11,2400,US,"['para. [0075])|paragraphs [0048]-[0049])|paras. [0143] and [0145]|c. 103|section 102|figure 24|fig. 1|figs. 22 and 24|claim 12|claims 4, 5, 10, 14 and 15|para. [0135])|paras. [0140]-[0145])|figure 22|fig. 24|figs. 16a|claim 13|claims 7 and 17|para. [0145])|paras. [0140]-[0142]|figure 7|fig. 22|figs. 1-4|claim 14|claims 1-20|para. [0246])|paras. [0092]-[0098])|fig. 23|claim 4|claims 3 and 13|para. [0028])|paras. [0140]-[0145]|fig. 2|claim 1|claims 1, 2, 6-9, 11, 12 and 16-20|para. [0246]|paras. [0010], [0050] and [0110]|fig. 3|claim 7|para. [0144])|paras. [0075] and [0137])|fig. 4|claim 5|para. [0142]|paras. [0075] and [0137]|fig. 7|claim 8|claim 3|claim 20|claim 6|claim 2|claim 9']",KD641VO9RXEAPX1,93a54c6937b1f2e1f7648bb6a59dee8b,X,True,20030131357,"Kim, Kyung-ah",US 20030131357 A1
1-20,2020-07-30,ETL_SYS,False,,False,2420,15819721,CTFR,2426,AOK,2025-01-13 14:32:11,2400,,"['para. [0075])|paragraphs [0048]-[0049])|paras. [0143] and [0145]|c. 103|section 102|figure 24|fig. 1|figs. 22 and 24|claim 12|claims 4, 5, 10, 14 and 15|para. [0135])|paras. [0140]-[0145])|figure 22|fig. 24|figs. 16a|claim 13|claims 7 and 17|para. [0145])|paras. [0140]-[0142]|figure 7|fig. 22|figs. 1-4|claim 14|claims 1-20|para. [0246])|paras. [0092]-[0098])|fig. 23|claim 4|claims 3 and 13|para. [0028])|paras. [0140]-[0145]|fig. 2|claim 1|claims 1, 2, 6-9, 11, 12 and 16-20|para. [0246]|paras. [0010], [0050] and [0110]|fig. 3|claim 7|para. [0144])|paras. [0075] and [0137])|fig. 4|claim 5|para. [0142]|paras. [0075] and [0137]|fig. 7|claim 8|claim 3|claim 20|claim 6|claim 2|claim 9']",KD641VO9RXEAPX1,ffc05c6cced45a59a32b66558c3ce7a6,X,False,,,
"1,20-40",2024-08-15,ETL_SYS,False,,False,2430,18186587,CTNF,2431,AOK,2025-01-13 14:32:11,2400,,"['para [0061]|col 35|c. 103|section 102|line 17|figure 7a|fig. 3|f.2d|claim 28, 37|claims 21|para [0059]|col. 27|c. 102 and 103|line 5|figure 7|fig. 4a|f.3d|claim 21, 29|para [0058]|line 13|figure 1|fig. 4b|claim 23, 24|para [0006]|line 1|claim 24|para [0098]|line 45|claim 1|para [0046]|line 7|claim 30|para [0013]|line 6|claim 27|para [0057]|claim 22|para [0043]|claim 25|para [0039]|claim 32|claim 26|claim 38']",LZSR2ZVHWFYBX94,1145276f7733379ea37f5096c43d65af,X,False,,,
"21,40",2024-08-15,ETL_SYS,False,A1,False,2430,18186587,CTNF,2431,AOK,2025-01-13 14:32:11,2400,US,"['para [0061]|col 35|c. 103|section 102|line 17|figure 7a|fig. 3|f.2d|claim 28, 37|claims 21|para [0059]|col. 27|c. 102 and 103|line 5|figure 7|fig. 4a|f.3d|claim 21, 29|para [0058]|line 13|figure 1|fig. 4b|claim 23, 24|para [0006]|line 1|claim 24|para [0098]|line 45|claim 1|para [0046]|line 7|claim 30|para [0013]|line 6|claim 27|para [0057]|claim 22|para [0043]|claim 25|para [0039]|claim 32|claim 26|claim 38']",LZSR2ZVHWFYBX94,503e032c1f297389183fa4cf86cdd6c5,X,True,20140090061,AVASARALA; Bhargav R.,US 20140090061 A1
