relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,inventorNameText,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,citedDocumentIdentifier,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber
"1,6,8,13-15,17,19",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,Hong; Michael,2186,AOK,2025-01-13 14:32:11,2100,US 20170166075 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,5aa45eebed840035216e4251c37e783e,Y,True,20170166075
"1-7,9-10,13-20",2024-12-04,ETL_SYS,False,,False,2190,17116892,CTFR,,2195,AOK,2025-01-13 14:32:11,2100,,,"['par. [0020]|pg. 514|c. 103|section 102|line 31|lines 13-15|fig. 8|f 8:30-5:00pm|claim 17|claims 1-7, 13-20|par. 0008|pg. 515|line 4|lines 1-7|fig. 3|claim 4|claims 1-7, 9-10 and 13-20|par. 0071|pg. 516|line 25|fig. 1)|claim 7|claims 1, 14 and 18|par. 0072|pg.514|claim 14|claims 9-10|par. 0083|pg. 518|claim 1|par. 0020|claim 9|par. 0027|claim 20|par. 0060|claim 3|par. 0034|claim 2|par. 0054)|claim 6|par. 0010|claim 5|par. 0048|par. 0046|par. 0047|par. 0039|par. 0022|par. 0033|par. 0031']",M478WXOXWFYGX55,0b61826af3758b2da808b2bfdaa21dc7,X,False,
1,2024-12-04,ETL_SYS,False,A1,False,2190,17116892,CTFR,Aissi; Selim,2195,AOK,2025-01-13 14:32:11,2100,US 20140013452 A1,US,"['par. [0020]|pg. 514|c. 103|section 102|line 31|lines 13-15|fig. 8|f 8:30-5:00pm|claim 17|claims 1-7, 13-20|par. 0008|pg. 515|line 4|lines 1-7|fig. 3|claim 4|claims 1-7, 9-10 and 13-20|par. 0071|pg. 516|line 25|fig. 1)|claim 7|claims 1, 14 and 18|par. 0072|pg.514|claim 14|claims 9-10|par. 0083|pg. 518|claim 1|par. 0020|claim 9|par. 0027|claim 20|par. 0060|claim 3|par. 0034|claim 2|par. 0054)|claim 6|par. 0010|claim 5|par. 0048|par. 0046|par. 0047|par. 0039|par. 0022|par. 0033|par. 0031']",M478WXOXWFYGX55,4c7627ea65c41f871a2f1c4db257cded,X,True,20140013452
1,2024-12-04,ETL_SYS,False,A1,False,2190,17116892,CTFR,Dutta; Siddhartha,2195,AOK,2025-01-13 14:32:11,2100,US 20190392164 A1,US,"['par. [0020]|pg. 514|c. 103|section 102|line 31|lines 13-15|fig. 8|f 8:30-5:00pm|claim 17|claims 1-7, 13-20|par. 0008|pg. 515|line 4|lines 1-7|fig. 3|claim 4|claims 1-7, 9-10 and 13-20|par. 0071|pg. 516|line 25|fig. 1)|claim 7|claims 1, 14 and 18|par. 0072|pg.514|claim 14|claims 9-10|par. 0083|pg. 518|claim 1|par. 0020|claim 9|par. 0027|claim 20|par. 0060|claim 3|par. 0034|claim 2|par. 0054)|claim 6|par. 0010|claim 5|par. 0048|par. 0046|par. 0047|par. 0039|par. 0022|par. 0033|par. 0031']",M478WXOXWFYGX55,7fbb013f85b42b6ada1af5c95a92eee4,Y,True,20190392164
1,2024-12-04,ETL_SYS,False,A1,False,2190,17116892,CTFR,Dutta; Siddhartha,2195,AOK,2025-01-13 14:32:11,2100,US 20190392164 A1,US,"['par. [0020]|pg. 514|c. 103|section 102|line 31|lines 13-15|fig. 8|f 8:30-5:00pm|claim 17|claims 1-7, 13-20|par. 0008|pg. 515|line 4|lines 1-7|fig. 3|claim 4|claims 1-7, 9-10 and 13-20|par. 0071|pg. 516|line 25|fig. 1)|claim 7|claims 1, 14 and 18|par. 0072|pg.514|claim 14|claims 9-10|par. 0083|pg. 518|claim 1|par. 0020|claim 9|par. 0027|claim 20|par. 0060|claim 3|par. 0034|claim 2|par. 0054)|claim 6|par. 0010|claim 5|par. 0048|par. 0046|par. 0047|par. 0039|par. 0022|par. 0033|par. 0031']",M478WXOXWFYGX55,8f7b13f794b738001853d498f63e4709,X,True,20190392164
1,2024-12-04,ETL_SYS,False,B2,False,2190,17116892,CTFR,Doshi; Kshitij,2195,AOK,2025-01-13 14:32:11,2100,US 12112201 B2,US,"['par. [0020]|pg. 514|c. 103|section 102|line 31|lines 13-15|fig. 8|f 8:30-5:00pm|claim 17|claims 1-7, 13-20|par. 0008|pg. 515|line 4|lines 1-7|fig. 3|claim 4|claims 1-7, 9-10 and 13-20|par. 0071|pg. 516|line 25|fig. 1)|claim 7|claims 1, 14 and 18|par. 0072|pg.514|claim 14|claims 9-10|par. 0083|pg. 518|claim 1|par. 0020|claim 9|par. 0027|claim 20|par. 0060|claim 3|par. 0034|claim 2|par. 0054)|claim 6|par. 0010|claim 5|par. 0048|par. 0046|par. 0047|par. 0039|par. 0022|par. 0033|par. 0031']",M478WXOXWFYGX55,de9826f83b5cf7f1efe0df7f44235831,Y,True,12112201
14,2020-06-30,ETL_SYS,False,A1,False,2130,16248229,CTNF,Brown; Theresa M.,2137,AOK,2025-01-13 14:32:11,2100,US 20180284988 A1,US,"['page 16|pages 21-22|col 3|c. 103|lines 22-24)|figure 6|fig. 4, [0030], [0032]|claim 7|claims 1-20|page 19|col 4|c. 102|lines 9-14)|fig. 6|claim 1|claims 5, 16|page 15|fig. 4 and [0030], [0032] and [0050])|claim 8|claims 5, 6, 16 and 19|page 4|claim 9|claims 13, 17|claim 4|claims 1, 15|claim 6|claims 9-11|claim 5|claims 1-4, 7, 8, 12, 13, 15, 17, 18|claim 3|claim 2|c. 103|claims 5, 6, 16 and 19']",KBWE8JIWRXEAPX3,7c2f8ba9611050f46eb6d57c158299a8,Y,True,20180284988
"11,16",2020-06-30,ETL_SYS,False,A1,False,2130,16248229,CTNF,Brown; Theresa M.,2137,AOK,2025-01-13 14:32:11,2100,US 20180284988 A1,US,"['page 16|pages 21-22|col 3|c. 103|lines 22-24)|figure 6|fig. 4, [0030], [0032]|claim 7|claims 1-20|page 19|col 4|c. 102|lines 9-14)|fig. 6|claim 1|claims 5, 16|page 15|fig. 4 and [0030], [0032] and [0050])|claim 8|claims 5, 6, 16 and 19|page 4|claim 9|claims 13, 17|claim 4|claims 1, 15|claim 6|claims 9-11|claim 5|claims 1-4, 7, 8, 12, 13, 15, 17, 18|claim 3|claim 2|c. 103|claims 5, 6, 16 and 19']",KBWE8JIWRXEAPX3,aa2fc659e972aa6846c134ebfa8541d9,Y,True,20180284988
"1-4,7-8,12-13,15,17-18,20",2020-06-30,ETL_SYS,False,A1,False,2130,16248229,CTNF,Dube; Parijat,2137,AOK,2025-01-13 14:32:11,2100,US 20140201451 A1,US,"['page 16|pages 21-22|col 3|c. 103|lines 22-24)|figure 6|fig. 4, [0030], [0032]|claim 7|claims 1-20|page 19|col 4|c. 102|lines 9-14)|fig. 6|claim 1|claims 5, 16|page 15|fig. 4 and [0030], [0032] and [0050])|claim 8|claims 5, 6, 16 and 19|page 4|claim 9|claims 13, 17|claim 4|claims 1, 15|claim 6|claims 9-11|claim 5|claims 1-4, 7, 8, 12, 13, 15, 17, 18|claim 3|claim 2|c. 103|claims 5, 6, 16 and 19']",KBWE8JIWRXEAPX3,b42edfc12ec2931f2165e7a57035070b,Y,True,20140201451
"6-8,15-17,20",2021-01-19,ETL_SYS,False,A1,False,2150,15850711,CTNF,"Conzola, Vincent Charles",2152,AOK,2025-01-13 14:32:11,2100,US 20050046570 A1,US,"['page 4, [0065]|column 9|c. 103|lines 59-67|figure 7a|figs. 5 and 6|table 1|claim 3|claims 10-14, 18|page 4|column 2|c. 102|lines 17-24)|figure 4a|claim 6|claims 1, 2-5, 9-14, 18|page 8, [0113]|column 8|lines 36-50|claim 8|claims 1-20|column 13|lines 30-35|claim 4|claims 15-17 and 20|claim 1|claims 1, 2-5, 10-14, 18|claim 2|claim 7|claim 5']",KJX2S0CGLDFLYX7,8e2c5c5924acdbcccac5935935963475,Y,True,20050046570
"6-8,15-17,20",2021-01-19,ETL_SYS,False,A1,False,2150,15850711,CTNF,CHAKRA; AL,2152,AOK,2025-01-13 14:32:11,2100,US 20090090584 A1,US,"['page 4, [0065]|column 9|c. 103|lines 59-67|figure 7a|figs. 5 and 6|table 1|claim 3|claims 10-14, 18|page 4|column 2|c. 102|lines 17-24)|figure 4a|claim 6|claims 1, 2-5, 9-14, 18|page 8, [0113]|column 8|lines 36-50|claim 8|claims 1-20|column 13|lines 30-35|claim 4|claims 15-17 and 20|claim 1|claims 1, 2-5, 10-14, 18|claim 2|claim 7|claim 5']",KJX2S0CGLDFLYX7,364bf2b0141dd31a57976f2703458005,Y,True,20090090584
1-20,2022-11-18,ETL_SYS,False,,False,2160,17060523,CTNF,,2164,AOK,2025-01-13 14:32:11,2100,,,['paragraph [0053]|c. 103|claim 1|claims 1-19|paragraph [0052]|claim 7|claims 1-20|paragraph [0169]|claim 5|paragraph [0187]|claim 3|claim 4|claim 9|claim 6|claim 2|claim 8'],LAJQXUGUXBLUEX4,87b7c4198b26c381a834ba230889919f,X,False,
7-8,2024-10-17,ETL_SYS,False,,False,2120,17206164,CTNF,,2122,AOK,2025-01-13 14:32:11,2100,,,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,da98d3e1cefea044bec80dc3642c8433,Y,True,
5,2024-10-17,ETL_SYS,False,A1,False,2120,17206164,CTNF,Csefalvay; Szabolcs,2122,AOK,2025-01-13 14:32:11,2100,US 20200202218 A1,US,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,698da97a99fc320eb3125f6a2930e88f,Y,True,20200202218
5,2024-10-17,ETL_SYS,False,,False,2120,17206164,CTNF,,2122,AOK,2025-01-13 14:32:11,2100,,,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,0f483b54bfa01b4f83d7a1951a0278fc,Y,True,
"2-3,9,12,18",2022-11-18,ETL_SYS,False,A1,False,2160,17060523,CTNF,NOVIK; LEV,2164,AOK,2025-01-13 14:32:11,2100,US 20160078103 A1,US,['paragraph [0053]|c. 103|claim 1|claims 1-19|paragraph [0052]|claim 7|claims 1-20|paragraph [0169]|claim 5|paragraph [0187]|claim 3|claim 4|claim 9|claim 6|claim 2|claim 8'],LAJQXUGUXBLUEX4,4f36261cc61f774a705764c380a6a476,Y,True,20160078103
"1,4,8,11,13,17",2022-11-18,ETL_SYS,False,A1,False,2160,17060523,CTNF,Morrison; Rick,2164,AOK,2025-01-13 14:32:11,2100,US 20130086104 A1,US,['paragraph [0053]|c. 103|claim 1|claims 1-19|paragraph [0052]|claim 7|claims 1-20|paragraph [0169]|claim 5|paragraph [0187]|claim 3|claim 4|claim 9|claim 6|claim 2|claim 8'],LAJQXUGUXBLUEX4,a6c81fd606bf4a29d04e5e239eb7fc2d,Y,True,20130086104
"6,14",2022-06-03,ETL_SYS,False,A1,False,2190,17125541,CTNF,ISHIKAWA; Naoshi,2196,AOK,2025-01-13 14:32:11,2100,US 20170010830 A1,US,"['paragraph [0276]|col. 4|c. 103|section 151|lines 24-28|claim 17|claims 2 and 10|paragraph [0119]|c. 101|section 122|claim 1|claims 1, 9|c. 102|section 102|claim 6 and 14|claims 7 and 15|claim 9|claims 8, 16|claims 4, 12|claims 3, 11|claims 1-20|claims 1-5, 9-13, 17, 19|claims 6 and 14|claims 2-8, 10-16|claims 5 and 13']",L3VQ2DWPXBLUEX0,c2858f161aa48df2c3fda797b0cce2cc,Y,True,20170010830
"1-5,7,9-13,15,17,19-20",2022-06-03,ETL_SYS,False,A1,False,2190,17125541,CTNF,Xu; Cong,2196,AOK,2025-01-13 14:32:11,2100,US 20200412835 A1,US,"['paragraph [0276]|col. 4|c. 103|section 151|lines 24-28|claim 17|claims 2 and 10|paragraph [0119]|c. 101|section 122|claim 1|claims 1, 9|c. 102|section 102|claim 6 and 14|claims 7 and 15|claim 9|claims 8, 16|claims 4, 12|claims 3, 11|claims 1-20|claims 1-5, 9-13, 17, 19|claims 6 and 14|claims 2-8, 10-16|claims 5 and 13']",L3VQ2DWPXBLUEX0,6a2488bf32999693077339f521196211,X,True,20200412835
1-20,2022-06-03,ETL_SYS,False,,False,2190,17125541,CTNF,,2196,AOK,2025-01-13 14:32:11,2100,,,"['paragraph [0276]|col. 4|c. 103|section 151|lines 24-28|claim 17|claims 2 and 10|paragraph [0119]|c. 101|section 122|claim 1|claims 1, 9|c. 102|section 102|claim 6 and 14|claims 7 and 15|claim 9|claims 8, 16|claims 4, 12|claims 3, 11|claims 1-20|claims 1-5, 9-13, 17, 19|claims 6 and 14|claims 2-8, 10-16|claims 5 and 13']",L3VQ2DWPXBLUEX0,356afdec607cdfdeda41d18bfa0ef526,X,False,
"6,14",2022-06-03,ETL_SYS,False,A1,False,2190,17125541,CTNF,Xu; Cong,2196,AOK,2025-01-13 14:32:11,2100,US 20200412835 A1,US,"['paragraph [0276]|col. 4|c. 103|section 151|lines 24-28|claim 17|claims 2 and 10|paragraph [0119]|c. 101|section 122|claim 1|claims 1, 9|c. 102|section 102|claim 6 and 14|claims 7 and 15|claim 9|claims 8, 16|claims 4, 12|claims 3, 11|claims 1-20|claims 1-5, 9-13, 17, 19|claims 6 and 14|claims 2-8, 10-16|claims 5 and 13']",L3VQ2DWPXBLUEX0,7b925509c43eab4e6dca4c7f511a24ab,Y,True,20200412835
1-7,2020-05-14,ETL_SYS,False,,False,2130,16150963,CTFR,,2135,AOK,2025-01-13 14:32:11,2100,,,['c. 103|claim 5|claims 3-5|c. 102|claim 1|claims 1-2|claim 7|claims 6-7|claim 6|claims 1-7|claim 3|claim 2|claim 4'],KA40JD4ZRXEAPX5,20d18c7ef5407b8c6da47815d45731be,X,False,
1-5,2020-05-14,ETL_SYS,False,A1,False,2130,16150963,CTFR,Bakke; Mark,2135,AOK,2025-01-13 14:32:11,2100,US 20170024224 A1,US,['c. 103|claim 5|claims 3-5|c. 102|claim 1|claims 1-2|claim 7|claims 6-7|claim 6|claims 1-7|claim 3|claim 2|claim 4'],KA40JD4ZRXEAPX5,b56323a70486aac20b2e848b1c60e563,Y,True,20170024224
"1-2,6,11,17",2022-08-26,ETL_SYS,False,A1,False,2140,17162562,CTFR,Joerg; Thomas,2144,AOK,2025-01-13 14:32:11,2100,US 20110055147 A1,US,"['c. 103|section 102|fig. 3))|figs. 1 and 4)|f.3d|claim 7|claims 1 and 7|f.2d|claim 11|claims 1 and 11|claim 8|claims 3, 4, 12, 13, 18|claim 9|claims 1, 2, 6, 11|claim 1|claims 5, 14|claim 6|claims 7, 8|claim 4|claims 1 and 2|claim 2|claims 1-20|claim 3|claims 9 and 16|claim 5|claims 10|claims 1']",L77OPTKYGREENX4,e08b8676e5ea9d38528abb54fa3b7e7a,X,True,20110055147
"1,3-5,7-10,12-16,18-20",2022-08-26,ETL_SYS,False,,False,2140,17162562,CTFR,,2144,AOK,2025-01-13 14:32:11,2100,,,"['c. 103|section 102|fig. 3))|figs. 1 and 4)|f.3d|claim 7|claims 1 and 7|f.2d|claim 11|claims 1 and 11|claim 8|claims 3, 4, 12, 13, 18|claim 9|claims 1, 2, 6, 11|claim 1|claims 5, 14|claim 6|claims 7, 8|claim 4|claims 1 and 2|claim 2|claims 1-20|claim 3|claims 9 and 16|claim 5|claims 10|claims 1']",L77OPTKYGREENX4,0450a144926af2d2197a19021d7f26b0,X,False,
"4,6",2024-10-17,ETL_SYS,False,A1,False,2120,17206164,CTNF,Imber; James,2122,AOK,2025-01-13 14:32:11,2100,US 20190236436 A1,US,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,0c068ae0b1b24b162c169c7f296051a2,Y,True,20190236436
"1-2,4-5,8-9,11-12,15-16,18-19",2020-07-31,ETL_SYS,False,A1,False,2190,16264638,CTFR,"Bourbonnais, Serge",2198,AOK,2025-01-13 14:32:11,2100,US 20040030703 A1,US,"['c. 102|claims 1, 2, 4, 5, 8, 9, 11, 12, 15, 16, 18|c. 103|claims 1 and 14|claims 1, 12|claims 31, 41|claims 1, 9|claims 1, 21|claims 1, 8, 15']",KD7JT6A7RXEAPX2,9a5a5361dd33a288d206a1a574afc214,Y,True,20040030703
"1-2,4-5,8-9,11-12,15-16,18-19",2020-07-31,ETL_SYS,False,A1,False,2190,16264638,CTFR,"Li, Jun",2198,AOK,2025-01-13 14:32:11,2100,US 20030056200 A1,US,"['c. 102|claims 1, 2, 4, 5, 8, 9, 11, 12, 15, 16, 18|c. 103|claims 1 and 14|claims 1, 12|claims 31, 41|claims 1, 9|claims 1, 21|claims 1, 8, 15']",KD7JT6A7RXEAPX2,f02613a2f9e5bbf9fb2ceedf66a881ce,Y,True,20030056200
"1-3,9",2024-10-17,ETL_SYS,False,A1,False,2120,17206164,CTNF,Darvish Rouhani; Bita,2122,AOK,2025-01-13 14:32:11,2100,US 20200210840 A1,US,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,5be8fbaae68556afe3fac2db3a7fcbdb,Y,True,20200210840
"4,6",2024-10-17,ETL_SYS,False,A1,False,2120,17206164,CTNF,Darvish Rouhani; Bita,2122,AOK,2025-01-13 14:32:11,2100,US 20200210840 A1,US,"['paragraph 4|page 11|c. 112|section 102|fig. 20|f.3d|claim 5|claims 10-18|paragraph 3|page 25|c. 102 and 103|fig. 2|claim 9|claims 4, 8, 9, 13, 17 and 18|paragraph 2|c. 103|claim 1|claims 7-8|paragraph 5|c. 132|claim 4|claims 1-9|c. 35|claim 6|claims 1|c. 101|claim 7|claims 2-3|c. 3|claim 8|claims 4, 8, 13 and 17|claim 2|claim 3']",M2AOG1UPWFYGX54,fe0ebd702ea2be3aad5333c6bb1a30cd,Y,True,20200210840
